State,Year,Quarter,District,Registered_user,App_opens
Andaman & Nicobar,2018,1,north and middle andaman,632,0
Andaman & Nicobar,2018,1,south andaman,5846,0
Andaman & Nicobar,2018,1,nicobars,262,0
Andaman & Nicobar,2018,2,north and middle andaman,911,0
Andaman & Nicobar,2018,2,south andaman,8143,0
Andaman & Nicobar,2018,2,nicobars,351,0
Andaman & Nicobar,2018,3,north and middle andaman,1208,0
Andaman & Nicobar,2018,3,south andaman,10474,0
Andaman & Nicobar,2018,3,nicobars,467,0
Andaman & Nicobar,2018,4,north and middle andaman,1553,0
Andaman & Nicobar,2018,4,south andaman,13133,0
Andaman & Nicobar,2018,4,nicobars,536,0
Andaman & Nicobar,2019,1,north and middle andaman,2013,0
Andaman & Nicobar,2019,1,south andaman,15961,0
Andaman & Nicobar,2019,1,nicobars,622,0
Andaman & Nicobar,2019,2,north and middle andaman,2417,6118
Andaman & Nicobar,2019,2,south andaman,18621,43569
Andaman & Nicobar,2019,2,nicobars,693,2953
Andaman & Nicobar,2019,3,north and middle andaman,2662,22064
Andaman & Nicobar,2019,3,south andaman,20518,138190
Andaman & Nicobar,2019,3,nicobars,751,10853
Andaman & Nicobar,2019,4,north and middle andaman,2955,26253
Andaman & Nicobar,2019,4,south andaman,22202,139646
Andaman & Nicobar,2019,4,nicobars,803,11113
Andaman & Nicobar,2020,1,north and middle andaman,3315,30444
Andaman & Nicobar,2020,1,south andaman,24174,151529
Andaman & Nicobar,2020,1,nicobars,879,11613
Andaman & Nicobar,2020,2,north and middle andaman,4100,56992
Andaman & Nicobar,2020,2,south andaman,27626,231071
Andaman & Nicobar,2020,2,nicobars,984,17009
Andaman & Nicobar,2020,3,north and middle andaman,5355,76553
Andaman & Nicobar,2020,3,south andaman,34833,417785
Andaman & Nicobar,2020,3,nicobars,1147,21227
Andaman & Nicobar,2020,4,north and middle andaman,7076,125915
Andaman & Nicobar,2020,4,south andaman,43908,725321
Andaman & Nicobar,2020,4,nicobars,1412,35972
Andaman & Nicobar,2021,1,north and middle andaman,7833,121680
Andaman & Nicobar,2021,1,south andaman,48352,837589
Andaman & Nicobar,2021,1,nicobars,1573,45067
Andaman & Nicobar,2021,2,north and middle andaman,8493,596182
Andaman & Nicobar,2021,2,south andaman,51903,1270226
Andaman & Nicobar,2021,2,nicobars,1699,381815
Andaman & Nicobar,2021,3,north and middle andaman,9263,759314
Andaman & Nicobar,2021,3,south andaman,55873,1771107
Andaman & Nicobar,2021,3,nicobars,1846,591204
Andaman & Nicobar,2021,4,north and middle andaman,10002,171921
Andaman & Nicobar,2021,4,south andaman,59807,1863037
Andaman & Nicobar,2021,4,nicobars,1971,77952
Andaman & Nicobar,2022,1,north and middle andaman,10720,904869
Andaman & Nicobar,2022,1,south andaman,63487,2368756
Andaman & Nicobar,2022,1,nicobars,2081,573782
Andaman & Nicobar,2022,2,north and middle andaman,11379,963824
Andaman & Nicobar,2022,2,south andaman,66959,3404740
Andaman & Nicobar,2022,2,nicobars,2192,811449
Andaman & Nicobar,2022,3,north and middle andaman,11897,1176567
Andaman & Nicobar,2022,3,south andaman,70445,3607286
Andaman & Nicobar,2022,3,nicobars,2300,1284501
Andaman & Nicobar,2022,4,north and middle andaman,12361,313502
Andaman & Nicobar,2022,4,south andaman,73692,3881359
Andaman & Nicobar,2022,4,nicobars,2389,159232
Andaman & Nicobar,2023,1,north and middle andaman,12941,3103047
Andaman & Nicobar,2023,1,south andaman,77052,5450795
Andaman & Nicobar,2023,1,nicobars,2491,2458822
Andaman & Nicobar,2023,2,north and middle andaman,13600,3174229
Andaman & Nicobar,2023,2,south andaman,80112,6884657
Andaman & Nicobar,2023,2,nicobars,2617,4679790
Andaman & Nicobar,2023,3,north and middle andaman,14216,7130284
Andaman & Nicobar,2023,3,south andaman,83305,5950899
Andaman & Nicobar,2023,3,nicobars,2734,7463896
Andaman & Nicobar,2023,4,north and middle andaman,14813,1869462
Andaman & Nicobar,2023,4,south andaman,86348,7452861
Andaman & Nicobar,2023,4,nicobars,2817,523637
Andhra Pradesh,2018,1,east godavari,350356,0
Andhra Pradesh,2018,1,srikakulam,143839,0
Andhra Pradesh,2018,1,visakhapatnam,497187,0
Andhra Pradesh,2018,1,prakasam,189949,0
Andhra Pradesh,2018,1,anantapur,241192,0
Andhra Pradesh,2018,1,kurnool,240133,0
Andhra Pradesh,2018,1,guntur,317065,0
Andhra Pradesh,2018,1,krishna,323673,0
Andhra Pradesh,2018,1,spsr nellore,194475,0
Andhra Pradesh,2018,1,vizianagaram,128905,0
Andhra Pradesh,2018,1,ysr,186800,0
Andhra Pradesh,2018,1,west godavari,213335,0
Andhra Pradesh,2018,1,chittoor,309541,0
Andhra Pradesh,2018,2,east godavari,454398,0
Andhra Pradesh,2018,2,srikakulam,186913,0
Andhra Pradesh,2018,2,visakhapatnam,636052,0
Andhra Pradesh,2018,2,prakasam,253458,0
Andhra Pradesh,2018,2,anantapur,326383,0
Andhra Pradesh,2018,2,kurnool,319313,0
Andhra Pradesh,2018,2,guntur,420326,0
Andhra Pradesh,2018,2,krishna,431965,0
Andhra Pradesh,2018,2,spsr nellore,261049,0
Andhra Pradesh,2018,2,vizianagaram,167327,0
Andhra Pradesh,2018,2,ysr,248657,0
Andhra Pradesh,2018,2,west godavari,282393,0
Andhra Pradesh,2018,2,chittoor,414306,0
Andhra Pradesh,2018,3,east godavari,558982,0
Andhra Pradesh,2018,3,srikakulam,228456,0
Andhra Pradesh,2018,3,visakhapatnam,769096,0
Andhra Pradesh,2018,3,prakasam,314899,0
Andhra Pradesh,2018,3,anantapur,405855,0
Andhra Pradesh,2018,3,kurnool,394311,0
Andhra Pradesh,2018,3,guntur,518931,0
Andhra Pradesh,2018,3,krishna,537086,0
Andhra Pradesh,2018,3,spsr nellore,322446,0
Andhra Pradesh,2018,3,vizianagaram,203655,0
Andhra Pradesh,2018,3,ysr,308391,0
Andhra Pradesh,2018,3,west godavari,349782,0
Andhra Pradesh,2018,3,chittoor,515727,0
Andhra Pradesh,2018,4,east godavari,694455,0
Andhra Pradesh,2018,4,srikakulam,284874,0
Andhra Pradesh,2018,4,visakhapatnam,978288,0
Andhra Pradesh,2018,4,prakasam,394962,0
Andhra Pradesh,2018,4,anantapur,510892,0
Andhra Pradesh,2018,4,kurnool,498582,0
Andhra Pradesh,2018,4,guntur,659552,0
Andhra Pradesh,2018,4,krishna,682479,0
Andhra Pradesh,2018,4,spsr nellore,407495,0
Andhra Pradesh,2018,4,vizianagaram,257824,0
Andhra Pradesh,2018,4,ysr,387058,0
Andhra Pradesh,2018,4,west godavari,435668,0
Andhra Pradesh,2018,4,chittoor,665280,0
Andhra Pradesh,2019,1,east godavari,839277,0
Andhra Pradesh,2019,1,srikakulam,345775,0
Andhra Pradesh,2019,1,visakhapatnam,1174517,0
Andhra Pradesh,2019,1,prakasam,474260,0
Andhra Pradesh,2019,1,anantapur,612162,0
Andhra Pradesh,2019,1,kurnool,599422,0
Andhra Pradesh,2019,1,guntur,802394,0
Andhra Pradesh,2019,1,krishna,833694,0
Andhra Pradesh,2019,1,spsr nellore,491908,0
Andhra Pradesh,2019,1,vizianagaram,313334,0
Andhra Pradesh,2019,1,ysr,460590,0
Andhra Pradesh,2019,1,west godavari,523372,0
Andhra Pradesh,2019,1,chittoor,812314,0
Andhra Pradesh,2019,2,east godavari,945181,7156762
Andhra Pradesh,2019,2,srikakulam,392764,3230330
Andhra Pradesh,2019,2,visakhapatnam,1318740,13681907
Andhra Pradesh,2019,2,prakasam,539462,4488365
Andhra Pradesh,2019,2,anantapur,695114,6056591
Andhra Pradesh,2019,2,kurnool,680118,6240480
Andhra Pradesh,2019,2,guntur,915256,7268875
Andhra Pradesh,2019,2,krishna,952300,7822632
Andhra Pradesh,2019,2,spsr nellore,558303,4774473
Andhra Pradesh,2019,2,vizianagaram,355058,3541678
Andhra Pradesh,2019,2,ysr,519031,4345848
Andhra Pradesh,2019,2,west godavari,592185,3853094
Andhra Pradesh,2019,2,chittoor,925491,8914216
Andhra Pradesh,2019,3,east godavari,1057167,28275322
Andhra Pradesh,2019,3,srikakulam,437939,11813195
Andhra Pradesh,2019,3,visakhapatnam,1460464,54836001
Andhra Pradesh,2019,3,prakasam,598568,16267041
Andhra Pradesh,2019,3,anantapur,773656,22845084
Andhra Pradesh,2019,3,kurnool,755024,22827473
Andhra Pradesh,2019,3,guntur,1026418,28477132
Andhra Pradesh,2019,3,krishna,1066546,30077671
Andhra Pradesh,2019,3,spsr nellore,619592,17768733
Andhra Pradesh,2019,3,vizianagaram,394375,13065845
Andhra Pradesh,2019,3,ysr,574109,15833900
Andhra Pradesh,2019,3,west godavari,662102,14227407
Andhra Pradesh,2019,3,chittoor,1032733,34638738
Andhra Pradesh,2019,4,east godavari,1195228,38299189
Andhra Pradesh,2019,4,srikakulam,496266,16353822
Andhra Pradesh,2019,4,visakhapatnam,1620235,70749983
Andhra Pradesh,2019,4,prakasam,673522,21639748
Andhra Pradesh,2019,4,anantapur,873033,30278539
Andhra Pradesh,2019,4,kurnool,846885,29676997
Andhra Pradesh,2019,4,guntur,1158708,37846179
Andhra Pradesh,2019,4,krishna,1199971,39407473
Andhra Pradesh,2019,4,spsr nellore,697154,23608360
Andhra Pradesh,2019,4,vizianagaram,443810,17515311
Andhra Pradesh,2019,4,ysr,646642,21543798
Andhra Pradesh,2019,4,west godavari,750078,19393528
Andhra Pradesh,2019,4,chittoor,1156351,44888591
Andhra Pradesh,2020,1,east godavari,1329664,46142746
Andhra Pradesh,2020,1,srikakulam,552007,20975989
Andhra Pradesh,2020,1,visakhapatnam,1763581,77558624
Andhra Pradesh,2020,1,prakasam,748655,26870693
Andhra Pradesh,2020,1,anantapur,971850,36900103
Andhra Pradesh,2020,1,kurnool,936293,34198350
Andhra Pradesh,2020,1,guntur,1289678,45282758
Andhra Pradesh,2020,1,krishna,1331602,46079408
Andhra Pradesh,2020,1,spsr nellore,775440,28879364
Andhra Pradesh,2020,1,vizianagaram,490683,21562104
Andhra Pradesh,2020,1,ysr,717865,26166193
Andhra Pradesh,2020,1,west godavari,843835,24542868
Andhra Pradesh,2020,1,chittoor,1270907,51354573
Andhra Pradesh,2020,2,east godavari,1459116,45884498
Andhra Pradesh,2020,2,srikakulam,608002,23808009
Andhra Pradesh,2020,2,visakhapatnam,1904719,69684456
Andhra Pradesh,2020,2,prakasam,830709,32255276
Andhra Pradesh,2020,2,anantapur,1076953,39704703
Andhra Pradesh,2020,2,kurnool,1035093,36268390
Andhra Pradesh,2020,2,guntur,1426271,44267596
Andhra Pradesh,2020,2,krishna,1459041,41234166
Andhra Pradesh,2020,2,spsr nellore,854459,30816403
Andhra Pradesh,2020,2,vizianagaram,537798,24370380
Andhra Pradesh,2020,2,ysr,796769,29644037
Andhra Pradesh,2020,2,west godavari,944829,26583613
Andhra Pradesh,2020,2,chittoor,1385916,49820171
Andhra Pradesh,2020,3,east godavari,1601940,64292857
Andhra Pradesh,2020,3,srikakulam,667858,31794753
Andhra Pradesh,2020,3,visakhapatnam,2058346,102589371
Andhra Pradesh,2020,3,prakasam,915240,44970519
Andhra Pradesh,2020,3,anantapur,1186851,55714787
Andhra Pradesh,2020,3,kurnool,1132240,49164718
Andhra Pradesh,2020,3,guntur,1567595,62427501
Andhra Pradesh,2020,3,krishna,1599289,61028114
Andhra Pradesh,2020,3,spsr nellore,937176,43951448
Andhra Pradesh,2020,3,vizianagaram,587784,31199437
Andhra Pradesh,2020,3,ysr,877909,41578067
Andhra Pradesh,2020,3,west godavari,1053674,38126238
Andhra Pradesh,2020,3,chittoor,1506503,69462572
Andhra Pradesh,2020,4,east godavari,1746280,82605352
Andhra Pradesh,2020,4,srikakulam,726761,36770992
Andhra Pradesh,2020,4,visakhapatnam,2209658,124730170
Andhra Pradesh,2020,4,prakasam,999462,52839846
Andhra Pradesh,2020,4,anantapur,1295872,69562398
Andhra Pradesh,2020,4,kurnool,1230466,60615045
Andhra Pradesh,2020,4,guntur,1712940,81291172
Andhra Pradesh,2020,4,krishna,1744028,81787771
Andhra Pradesh,2020,4,spsr nellore,1022944,54765443
Andhra Pradesh,2020,4,vizianagaram,634462,35110885
Andhra Pradesh,2020,4,ysr,959182,49596303
Andhra Pradesh,2020,4,west godavari,1163179,51170162
Andhra Pradesh,2020,4,chittoor,1631331,88232999
Andhra Pradesh,2021,1,east godavari,1878769,91478749
Andhra Pradesh,2021,1,srikakulam,782604,40590058
Andhra Pradesh,2021,1,visakhapatnam,2368081,135908324
Andhra Pradesh,2021,1,prakasam,1075936,56911479
Andhra Pradesh,2021,1,anantapur,1394849,73375049
Andhra Pradesh,2021,1,kurnool,1323411,65326230
Andhra Pradesh,2021,1,guntur,1843237,92731167
Andhra Pradesh,2021,1,krishna,1876458,92941553
Andhra Pradesh,2021,1,spsr nellore,1100541,60691988
Andhra Pradesh,2021,1,vizianagaram,681621,37752539
Andhra Pradesh,2021,1,ysr,1032689,53525815
Andhra Pradesh,2021,1,west godavari,1254117,57392671
Andhra Pradesh,2021,1,chittoor,1751420,99083825
Andhra Pradesh,2021,2,east godavari,2006272,84705076
Andhra Pradesh,2021,2,srikakulam,837958,43740255
Andhra Pradesh,2021,2,visakhapatnam,2526830,114313154
Andhra Pradesh,2021,2,prakasam,1151232,76850749
Andhra Pradesh,2021,2,anantapur,1492738,104568606
Andhra Pradesh,2021,2,kurnool,1415585,81894678
Andhra Pradesh,2021,2,guntur,1968681,88248064
Andhra Pradesh,2021,2,krishna,2002662,85771678
Andhra Pradesh,2021,2,spsr nellore,1176334,74049216
Andhra Pradesh,2021,2,vizianagaram,729509,42684475
Andhra Pradesh,2021,2,ysr,1103004,72255265
